,Link,Title,Subtitle,Price,Sale Price
139,https://www.nike.com/t/flex-runner-2-toddler-shoes-3P1w0c/DX6131-301,Nike Flex Runner 2,Toddler Shoes,$40 ,$34.97 
140,https://www.nike.com/t/dri-fit-dna-mens-basketball-shorts-GhvXS4/DZ3057-684,Nike Dri-FIT DNA+,Men's Basketball Shorts,$70 ,$59.97 
141,https://www.nike.com/t/one-m-womens-high-waisted-leopard-print-leggings-maternity-TxDSfs/DQ5544-503,Nike One (M),Women's High-Waisted Leopard Print Leggings (Maternity),$75 ,$63.97 
142,https://www.nike.com/t/sportswear-womens-fleece-shorts-2b1TSq/DX1115-546,Nike Sportswear,Women's Fleece Shorts,$70 ,$36.97 
143,https://www.nike.com/t/dri-fit-mens-tapered-training-pants-Q2ZpHq/CZ6379-451,Nike Dri-FIT,Men's Tapered Training Pants,$55 ,$48.97 
144,https://www.nike.com/t/sportswear-big-kids-girls-t-shirt-dress-sGR0Kk/DV0070-254,Nike Sportswear,Big Kids' (Girls') T-Shirt Dress,$45 ,$30.97 
145,https://www.nike.com/t/pro-dri-fit-big-kids-girls-leggings-sZVcF8/DQ9119-569,Nike Pro Dri-FIT,Big Kids' (Girls') Leggings,$45 ,$29.97 
146,https://www.nike.com/t/sportswear-icon-clash-big-kids-girls-dress-pQQtVV/DQ8872-569,Nike Sportswear Icon Clash,Big Kids' (Girls') Dress,$52 ,$33.97 
147,https://www.nike.com/t/mmw-womens-long-sleeve-top-lVh30r/DD9424-280,Nike x MMW,Women's Long-Sleeve Top,$150 ,$127.97 
148,https://www.nike.com/t/dri-fit-swoosh-big-kids-girls-sports-bra-bPv1bT/DD7960-772,Nike Dri-FIT Swoosh,Big Kids' (Girls') Sports Bra,$25 ,$20.97 
149,https://www.nike.com/t/yoga-luxe-dri-fit-womens-long-sleeve-ribbed-top-plus-size-gNGl3m/DM9499-203,Nike Yoga Luxe Dri-FIT,Women's Long-Sleeve Ribbed Top (Plus Size),$60 ,$35.97 
150,https://www.nike.com/t/revolution-6-flyease-4e-big-kids-easy-on-off-road-running-shoes-1kTKJr/DO5065-003,Nike Revolution 6 FlyEase 4E,Big Kids' Easy On/Off Road Running Shoes,$65 ,$48.97 
151,https://www.nike.com/t/offcourt-ohio-state-slide-GwtMfd/DD0534-001,Nike Offcourt (Ohio State),Slide,$40 ,$20.97 
152,https://www.nike.com/t/michigan-state-womens-long-sleeve-cropped-t-shirt-Cm76G5/DR7406-397,Nike College (Michigan State),Women's Long-Sleeve Cropped T-Shirt,$35 ,$28.97 
153,https://www.nike.com/t/oregon-home-mens-game-football-jersey-2KmC8X/DB3101-377,Nike College (Oregon) Home,Men's Game Football Jersey,$105 ,$77.97 
154,https://www.nike.com/t/mens-square-leg-swim-jammer-qmqtgm/NESSA006-440,Nike,Men's Square Leg Swim Jammer,$56 ,$47.97 
155,https://www.nike.com/t/swoosh-womens-medium-support-1-piece-pad-sports-bra-plus-size-6JN4tZ/DN4628-222,Nike Swoosh,Women's Medium-Support 1-Piece Pad Sports Bra (Plus Size),$45 ,$32.97 
156,https://www.nike.com/t/sportswear-womens-sports-utility-woven-cargo-pants-CkWcJk/DX2322-010,Nike Sportswear,Women's Sports Utility Woven Cargo Pants,$75 ,$63.97 
157,https://www.nike.com/t/revolution-6-baby-toddler-shoes-q86rDs/DD1094-007,Nike Revolution 6,Baby/Toddler Shoes,$50 ,$37.97 
158,https://www.nike.com/t/air-womens-mid-rise-fleece-joggers-plus-size-pV53Bs/DV5025-133,Nike Air,Women's Mid-Rise Fleece Joggers (Plus Size),$75 ,$41.97 
159,https://www.nike.com/t/dri-fit-hwpo-mens-training-t-shirt-BvHk1T/DA1594-657,"Nike Dri-FIT ""HWPO""",Men’s Training T-Shirt,$30 ,$24.97 
160,https://www.nike.com/t/dri-fit-mens-tapered-training-pants-0dntc4/CU6775-063,Nike Dri-FIT,Men's Tapered Training Pants,$60 ,$48.97 
